dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.627334,11.670832,0.993524,2.103953,2.633463,2.235161,5.971701
0.010000,2.647594,11.664239,1.014829,2.130517,2.656461,2.299845,5.965467
0.010000,2.668066,11.657435,1.036402,2.157318,2.680092,2.363057,5.959200
0.010000,2.688751,11.650416,1.058246,2.184362,2.704338,2.424594,5.952904
0.010000,2.709649,11.643178,1.080362,2.211653,2.729182,2.484448,5.946580
0.010000,2.730761,11.635715,1.102754,2.239199,2.754605,2.542250,5.940232
0.010000,2.752087,11.628023,1.125424,2.267005,2.780584,2.597879,5.933860
0.010000,2.773626,11.620099,1.148375,2.295076,2.807096,2.651258,5.927469
0.010000,2.795379,11.611938,1.171609,2.323417,2.834117,2.702070,5.921060
0.010000,2.817347,11.603535,1.195130,2.352034,2.861620,2.750312,5.914636
0.010000,2.839530,11.594885,1.218939,2.380929,2.889578,2.795764,5.908200
0.010000,2.861928,11.585986,1.243040,2.410109,2.917961,2.838287,5.901754
0.010000,2.884541,11.576831,1.267436,2.439576,2.946738,2.877762,5.895301
0.010000,2.907370,11.567418,1.292129,2.469335,2.975880,2.914143,5.888844
0.010000,2.930414,11.557740,1.317123,2.499389,3.005352,2.947218,5.882385
0.010000,2.953675,11.547795,1.342420,2.529740,3.035122,2.977031,5.875928
0.010000,2.977151,11.537578,1.368024,2.560391,3.065156,3.003363,5.869475
0.010000,3.000845,11.527084,1.393938,2.591346,3.095419,3.026301,5.863029
0.010000,3.024755,11.516309,1.420164,2.622604,3.125876,3.045709,5.856592
0.010000,3.048883,11.505249,1.446706,2.654169,3.156492,3.061607,5.850169
0.010000,3.073228,11.493900,1.473566,2.686042,3.187232,3.073975,5.843761
0.010000,3.097791,11.482257,1.500748,2.718222,3.218060,3.082802,5.837371
0.010000,3.122571,11.470317,1.528255,2.750712,3.248941,3.088146,5.831003
0.010000,3.147570,11.458076,1.556090,2.783510,3.279841,3.090015,5.824659
0.010000,3.172787,11.445529,1.584257,2.816617,3.310726,3.088485,5.818343
0.010000,3.198223,11.432672,1.612757,2.850033,3.341562,3.083616,5.812056
0.010000,3.223878,11.419503,1.641594,2.883756,3.372317,3.075501,5.805803
0.010000,3.249751,11.406016,1.670772,2.917786,3.402960,3.064239,5.799585
0.010000,3.275845,11.392208,1.700293,2.952120,3.433459,3.049940,5.793406
0.010000,3.302156,11.378078,1.730159,2.986555,3.443436,0.997691,5.787269
0.010000,3.328681,11.363622,1.760368,3.020880,3.432518,-1.091828,5.781178
0.010000,3.355418,11.348840,1.790919,3.055088,3.420811,-1.170692,5.775135
0.010000,3.382363,11.333731,1.821810,3.089171,3.408274,-1.253647,5.769146
0.010000,3.409512,11.318294,1.853042,3.123119,3.394873,-1.340191,5.763212
0.010000,3.436862,11.302528,1.884611,3.156925,3.380571,-1.430128,5.757338
0.010000,3.464411,11.286433,1.916517,3.190579,3.365342,-1.522937,5.751526
0.010000,3.492154,11.270008,1.948757,3.224070,3.349158,-1.618392,5.745780
0.010000,3.520089,11.253253,1.981331,3.257390,3.331998,-1.715984,5.740103
0.010000,3.548212,11.236169,2.014237,3.290529,3.313843,-1.815501,5.734497
0.010000,3.576520,11.218756,2.047471,3.323475,3.294679,-1.916453,5.728966
0.010000,3.605010,11.201015,2.081034,3.356220,3.274493,-2.018527,5.723512
0.010000,3.633678,11.182947,2.114921,3.388753,3.253279,-2.121437,5.718139
0.010000,3.662522,11.164552,2.149132,3.421063,3.231032,-2.224685,5.712847
0.010000,3.691539,11.145832,2.183663,3.453141,3.207751,-2.328150,5.707641
0.010000,3.720726,11.126788,2.218513,3.484975,3.183437,-2.431335,5.702522
0.010000,3.750079,11.107423,2.253678,3.516556,3.158097,-2.534061,5.697492
0.010000,3.779596,11.087738,2.289157,3.547874,3.131736,-2.636014,5.692554
0.010000,3.809273,11.067735,2.324946,3.578917,3.104368,-2.736881,5.687710
0.010000,3.839109,11.047417,2.361043,3.609677,3.076003,-2.836493,5.682962
0.010000,3.869099,11.026786,2.397445,3.640144,3.046657,-2.934538,5.678312
